,frame,team,time,value,period
243,8833,Away,353.32,0.6,1
244,8858,Home,354.32,1.3,1
245,8883,Home,355.32,1.3,1
246,8908,Home,356.32,1.3,1
247,8933,Home,357.32,1.3,1
248,8958,Home,358.32,1.3,1
249,8983,Home,359.32,1.3,1
250,9008,Home,360.32,1.2,1
251,9033,Home,361.32,1.2,1
252,9058,Home,362.32,1.2,1
253,9083,Home,363.32,1.2,1
254,9108,Home,364.32,1.2,1
255,9133,Home,365.32,1.2,1
256,9158,Home,366.32,1.2,1
257,9183,Home,367.32,1.1,1
258,9208,Home,368.32,1.1,1
259,9233,Home,369.32,1.0,1
260,9258,Home,370.32,1.0,1
261,9283,Home,371.32,1.0,1
262,9308,Home,372.32,1.0,1
263,9333,Away,373.32,0.9,1
264,9358,Away,374.32,1.0,1
265,9383,Away,375.32,1.1,1
266,9408,Away,376.32,1.3,1
267,9433,Away,377.32,1.6,1
268,9458,Away,378.32,1.8,1
269,9483,Away,379.32,1.8,1
270,9508,Away,380.32,1.6,1
271,9533,Away,381.32,1.8,1
272,9558,Home,382.32,0.6,1
273,9583,Home,383.32,0.6,1
274,9608,Home,384.32,0.6,1
275,10064,Home,402.56,0.7,1
276,10089,Home,403.56,0.7,1
277,10114,Home,404.56,0.7,1
278,10139,Home,405.56,0.7,1
279,10164,Home,406.56,0.7,1
280,10189,Home,407.56,0.6,1
281,10214,Home,408.56,0.7,1
282,10239,Home,409.56,0.7,1
283,10264,Away,410.56,1.2,1
284,10289,Away,411.56,1.2,1
285,10314,Away,412.56,1.1,1
286,10339,Away,413.56,1.1,1
287,10364,Away,414.56,1.2,1
288,10389,Away,415.56,1.5,1
289,10414,Away,416.56,1.3,1
290,10439,Away,417.56,2.1,1
291,11185,Home,447.4,0.9,1
292,11210,Home,448.4,0.9,1
293,11235,Home,449.4,0.9,1
294,11260,Home,450.4,0.9,1
295,11285,Home,451.4,0.9,1
296,11310,Home,452.4,0.9,1
297,11335,Home,453.4,1.0,1
298,11360,Home,454.4,1.0,1
299,11385,Home,455.4,1.0,1
300,11410,Home,456.4,1.0,1
301,11435,Home,457.4,1.0,1
302,11460,Home,458.4,1.0,1
303,11485,Home,459.4,1.0,1
304,11510,Home,460.4,1.0,1
305,11535,Home,461.4,1.0,1
306,11560,Home,462.4,1.0,1
307,11585,Home,463.4,1.0,1
308,11610,Home,464.4,1.0,1
309,11635,Home,465.4,1.0,1
310,11660,Home,466.4,1.1,1
311,11685,Home,467.4,1.3,1
312,11710,Home,468.4,1.5,1
313,11735,Home,469.4,1.7,1
314,11760,Away,470.4,0.7,1
315,11785,Away,471.4,0.7,1
316,11810,Home,472.4,1.7,1
317,11835,Home,473.4,1.6,1
318,11860,Home,474.4,1.5,1
319,11885,Home,475.4,1.5,1
320,11910,Home,476.4,1.6,1
321,11935,Home,477.4,1.5,1
322,11960,Home,478.4,1.5,1
323,11985,Home,479.4,1.4,1
324,12010,Home,480.4,1.4,1
325,12035,Home,481.4,1.3,1
326,12060,Home,482.4,1.2,1
327,12085,Home,483.4,1.1,1
328,12110,Home,484.4,1.0,1
329,12135,Away,485.4,0.7,1
330,12160,Away,486.4,0.7,1
331,12577,Home,503.08,1.0,1
332,12602,Home,504.08,1.0,1
333,12627,Home,505.08,1.0,1
334,12652,Home,506.08,1.0,1
335,12677,Home,507.08,1.0,1
336,12702,Home,508.08,0.9,1
337,12727,Home,509.08,0.9,1
338,12752,Home,510.08,0.9,1
339,12777,Home,511.08,0.9,1
340,12802,Home,512.08,0.9,1
341,12827,Home,513.08,0.8,1
342,12852,Home,514.08,0.8,1
343,12877,Home,515.08,0.8,1
344,12902,Home,516.08,0.8,1
345,12927,Home,517.08,0.7,1
346,12952,Home,518.08,0.7,1
347,12977,Home,519.08,0.8,1
348,13002,Home,520.08,0.8,1
349,13027,Away,521.08,1.1,1
350,13052,Away,522.08,1.3,1
351,13077,Away,523.08,1.2,1
352,13102,Away,524.08,1.3,1
353,13127,Away,525.08,1.2,1
354,13152,Away,526.08,1.2,1
355,13177,Away,527.08,1.1,1
356,13202,Away,528.08,1.1,1
357,13227,Away,529.08,1.0,1
358,13252,Away,530.08,1.0,1
359,13277,Away,531.08,1.1,1
360,13302,Away,532.08,1.1,1
361,13327,Away,533.08,1.0,1
362,13352,Away,534.08,1.0,1
363,13377,Away,535.08,1.0,1
364,13402,Away,536.08,1.0,1
365,13427,Away,537.08,1.0,1
366,13452,Away,538.08,0.9,1
367,13477,Away,539.08,0.9,1
368,13502,Away,540.08,0.8,1
369,13527,Away,541.08,0.8,1
370,13552,Away,542.08,0.8,1
371,13577,Away,543.08,0.8,1
372,13602,Away,544.08,0.7,1
373,13627,Away,545.08,0.8,1
374,13652,Home,546.08,0.7,1
375,13677,Home,547.08,0.7,1
376,13702,Home,548.08,0.7,1
377,13727,Away,549.08,0.9,1
378,13752,Away,550.08,0.9,1
379,13777,Home,551.08,0.7,1
380,13802,Home,552.08,0.7,1
381,13827,Home,553.08,0.8,1
382,13852,Home,554.08,0.8,1
383,13877,Home,555.08,0.8,1
384,13902,Home,556.08,0.8,1
385,13927,Home,557.08,0.8,1
386,13952,Home,558.08,0.8,1
387,13977,Home,559.08,0.8,1
388,14002,Home,560.08,0.8,1
389,14027,Home,561.08,0.8,1
390,14052,Home,562.08,0.7,1
391,14077,Home,563.08,0.7,1
392,14102,Home,564.08,0.8,1
393,14127,Home,565.08,0.8,1
394,14152,Home,566.08,0.7,1
395,14291,Away,571.64,1.0,1
396,14316,Away,572.64,1.1,1
397,14341,Away,573.64,1.0,1
398,14366,Away,574.64,1.0,1
399,14391,Away,575.64,1.0,1
400,14416,Away,576.64,1.0,1
401,14441,Away,577.64,1.1,1
402,14466,Away,578.64,1.2,1
403,14491,Away,579.64,1.2,1
404,14516,Away,580.64,1.3,1
405,14541,Away,581.64,1.4,1
406,14566,Away,582.64,1.5,1
407,14591,Home,583.64,0.7,1
408,14616,Home,584.64,0.6,1
409,14641,Away,585.64,1.5,1
410,14666,Away,586.64,1.3,1
411,14691,Away,587.64,1.6,1
412,14716,Home,588.64,0.6,1
413,14741,Home,589.64,0.6,1
414,14766,Home,590.64,0.6,1
415,14791,Home,591.64,0.6,1
416,14816,Home,592.64,0.7,1
417,14841,Home,593.64,0.8,1
418,14866,Away,594.64,1.4,1
419,14891,Away,595.64,1.5,1
420,14916,Home,596.64,0.6,1
421,14941,Home,597.64,0.6,1
422,14966,Home,598.64,0.7,1
423,14991,Home,599.64,0.7,1
424,15016,Home,600.64,0.7,1
425,15041,Home,601.64,0.7,1
426,15066,Home,602.64,0.7,1
427,15091,Home,603.64,0.7,1
428,15116,Home,604.64,0.7,1
429,15141,Home,605.64,0.7,1
430,15166,Home,606.64,0.8,1
431,15191,Home,607.64,0.8,1
432,15216,Home,608.64,0.7,1
433,15241,Home,609.64,0.7,1
434,15266,Home,610.64,0.7,1
435,15291,Home,611.64,0.7,1
436,15316,Home,612.64,0.7,1
437,15341,Home,613.64,0.7,1
438,15366,Home,614.64,0.7,1
439,15391,Home,615.64,0.8,1
440,15416,Home,616.64,0.8,1
441,15441,Home,617.64,0.8,1
442,15466,Home,618.64,0.8,1
443,15491,Home,619.64,0.7,1
444,15516,Home,620.64,0.7,1
445,15541,Home,621.64,0.7,1
446,15566,Home,622.64,0.6,1
447,15591,Home,623.64,0.6,1
448,15616,Home,624.64,0.6,1
449,15641,Home,625.64,0.6,1
450,15666,Home,626.64,0.6,1
451,15691,Home,627.64,0.7,1
452,16095,Home,643.8,0.8,1
453,16120,Home,644.8,0.8,1
454,16145,Home,645.8,0.9,1
455,16170,Home,646.8,0.8,1
456,16195,Home,647.8,0.9,1
457,16220,Home,648.8,0.9,1
458,16245,Home,649.8,0.9,1
459,16270,Home,650.8,0.8,1
460,16295,Home,651.8,0.8,1
461,16320,Home,652.8,0.8,1
462,16345,Home,653.8,0.7,1
463,16370,Home,654.8,0.8,1
464,16491,Away,659.64,1.0,1
465,16516,Away,660.64,1.0,1
466,16541,Away,661.64,1.0,1
467,16566,Away,662.64,0.9,1
468,16591,Away,663.64,0.8,1
469,16616,Away,664.64,0.8,1
470,16641,Home,665.64,0.9,1
471,16666,Home,666.64,1.0,1
472,16691,Home,667.64,1.0,1
473,16716,Home,668.64,1.2,1
474,16741,Home,669.64,1.6,1
475,16766,Home,670.64,2.0,1
476,17382,Away,695.28,0.7,1
477,17407,Away,696.28,0.7,1
478,17432,Away,697.28,0.7,1
479,17457,Away,698.28,0.7,1
480,17482,Away,699.28,0.7,1
481,17507,Away,700.28,0.6,1
482,17532,Away,701.28,0.6,1
483,17557,Away,702.28,0.6,1
484,17582,Away,703.28,0.7,1
485,17607,Away,704.28,0.7,1
486,17632,Away,705.28,0.7,1
487,17657,Away,706.28,0.7,1
488,17682,Away,707.28,0.7,1
489,17707,Away,708.28,0.7,1
490,17732,Away,709.28,0.8,1
491,17757,Away,710.28,0.9,1
492,17782,Home,711.28,0.9,1
493,17807,Home,712.28,0.8,1
494,17832,Home,713.28,0.9,1
495,17857,Home,714.28,0.9,1
496,17882,Home,715.28,0.9,1
497,17907,Home,716.28,1.0,1
498,17932,Home,717.28,1.0,1
499,17957,Home,718.28,1.0,1
500,17982,Home,719.28,1.0,1
501,18007,Home,720.28,1.0,1
502,18032,Home,721.28,1.0,1
503,18057,Home,722.28,1.0,1
504,18082,Home,723.28,1.0,1
505,18107,Home,724.28,1.0,1
506,18132,Home,725.28,0.9,1
507,18157,Home,726.28,0.9,1
508,18182,Home,727.28,0.9,1
509,18207,Home,728.28,0.9,1
510,18232,Home,729.28,0.8,1
511,18257,Home,730.28,0.8,1
512,18282,Home,731.28,0.8,1
513,18307,Home,732.28,0.8,1
514,18332,Home,733.28,0.8,1
515,18357,Home,734.28,0.8,1
516,18382,Home,735.28,0.8,1
517,18407,Home,736.28,0.9,1
518,18432,Home,737.28,0.9,1
519,18457,Home,738.28,0.9,1
520,18482,Home,739.28,0.9,1
521,18507,Home,740.28,0.8,1
522,18532,Home,741.28,0.8,1
523,18557,Home,742.28,0.8,1
524,18582,Home,743.28,0.8,1
525,18607,Home,744.28,0.8,1
526,18632,Home,745.28,0.9,1
527,18657,Home,746.28,0.9,1
528,18682,Home,747.28,1.0,1
529,18707,Home,748.28,1.1,1
530,18732,Home,749.28,1.2,1
531,18757,Home,750.28,1.1,1
532,18782,Home,751.28,1.0,1
533,18807,Home,752.28,1.0,1
534,18832,Home,753.28,1.0,1
535,18857,Home,754.28,1.1,1
536,19374,Away,774.96,0.8,1
537,19399,Away,775.96,0.7,1
538,19424,Away,776.96,0.7,1
539,19449,Away,777.96,0.7,1
540,19474,Away,778.96,0.7,1
541,19499,Home,779.96,3.3,1
542,19524,Home,780.96,2.8,1
543,19549,Away,781.96,0.7,1
544,19574,Away,782.96,0.7,1
545,19599,Away,783.96,0.7,1
546,19624,Away,784.96,0.7,1
547,19649,Away,785.96,0.7,1
548,19674,Away,786.96,0.8,1
549,19699,Away,787.96,0.8,1
550,19724,Away,788.96,0.8,1
551,19749,Away,789.96,0.9,1
552,19774,Away,790.96,1.0,1
553,19799,Home,791.96,0.8,1
554,19824,Home,792.96,0.8,1
555,19849,Home,793.96,0.8,1
556,19874,Home,794.96,0.8,1
557,19899,Home,795.96,0.8,1
558,19924,Home,796.96,0.8,1
559,19949,Home,797.96,0.8,1
560,19974,Home,798.96,0.9,1
561,19999,Home,799.96,0.9,1
562,20024,Home,800.96,1.0,1
563,20049,Home,801.96,0.9,1
564,20074,Away,802.96,0.8,1
565,20099,Away,803.96,0.8,1
566,20124,Away,804.96,0.9,1
567,20149,Away,805.96,0.9,1
568,20174,Away,806.96,0.9,1
569,20199,Away,807.96,0.9,1
570,20224,Away,808.96,0.9,1
571,20249,Away,809.96,0.9,1
572,20274,Away,810.96,1.0,1
573,20299,Away,811.96,1.1,1
574,20324,Away,812.96,1.4,1
575,20349,Away,813.96,1.5,1
576,20374,Away,814.96,1.5,1
577,20399,Away,815.96,1.7,1
578,20424,Away,816.96,1.8,1
579,20449,Away,817.96,1.8,1
580,20474,Away,818.96,1.8,1
581,20499,Away,819.96,1.7,1
582,20524,Away,820.96,1.6,1
583,20549,Away,821.96,1.5,1
584,20574,Away,822.96,1.4,1
585,20599,Away,823.96,1.4,1
586,20624,Away,824.96,1.4,1
587,20649,Away,825.96,1.4,1
588,20674,Away,826.96,1.4,1
589,20699,Away,827.96,1.4,1
590,20724,Away,828.96,1.6,1
591,20749,Away,829.96,1.7,1
592,20774,Away,830.96,2.0,1
593,20799,Away,831.96,2.2,1
594,20824,Away,832.96,2.2,1
595,20849,Away,833.96,2.2,1
596,21311,Away,852.44,2.4,1
597,21336,Away,853.44,2.4,1
598,21361,Away,854.44,2.3,1
599,21386,Away,855.44,2.2,1
600,21411,Home,856.44,0.5,1
601,21436,Home,857.44,0.5,1
602,21461,Home,858.44,0.5,1
603,21486,Home,859.44,0.6,1
604,21511,Home,860.44,0.6,1
605,21536,Away,861.44,1.4,1
606,21561,Away,862.44,1.2,1
607,21586,Away,863.44,1.2,1
608,21611,Away,864.44,1.2,1
609,21636,Away,865.44,1.1,1
610,21661,Away,866.44,1.1,1
611,21686,Away,867.44,1.0,1
612,21711,Away,868.44,1.0,1
613,21736,Away,869.44,1.0,1
614,21761,Away,870.44,1.0,1
615,21786,Away,871.44,1.0,1
616,21811,Away,872.44,0.9,1
617,21836,Away,873.44,0.9,1
