,possession,team_name,obv_total_net_sum,obv_total_net_mean,possession minute,possession second,possession end minute,possession end second
151,104,Manchester City WFC,-0.029685780000000023,-0.014842890000000011,52,3,52,6
152,105,Arsenal WFC,0.1824091566,0.013029225471428572,52,8,52,39
153,106,Arsenal WFC,0.060865896499999995,0.030432948249999998,52,39,52,46
154,106,Manchester City WFC,0.07232244,0.01808061,52,39,52,46
155,107,Manchester City WFC,-0.0024859836999999996,-0.0004143306166666666,52,52,53,0
156,108,Arsenal WFC,0.0014782619999999993,0.0004927539999999998,53,13,53,18
157,109,Arsenal WFC,-0.008971437,-0.008971437,53,22,53,46
158,109,Manchester City WFC,0.007989016600000001,0.0005706440428571429,53,22,53,46
159,110,Arsenal WFC,-0.013499657,-0.013499657,54,4,54,6
160,111,Arsenal WFC,0.012442068600000002,0.0020736781000000003,54,48,55,4
161,111,Manchester City WFC,-0.00015315160000000153,-1.7016844444444615e-05,54,48,55,4
162,112,Arsenal WFC,0.011057997,0.0055289985,55,4,55,7
163,112,Manchester City WFC,-0.002087498,-0.002087498,55,4,55,7
164,113,Arsenal WFC,0.0370751974,0.001483007896,55,45,56,25
165,113,Manchester City WFC,-0.0022015769999999997,-0.0007338589999999999,55,45,56,25
166,114,Arsenal WFC,-0.0037823888,-0.0037823888,56,25,56,35
167,114,Manchester City WFC,0.021800744999999982,0.002725093124999998,56,25,56,35
168,115,Arsenal WFC,0.1574802582,0.01312335485,56,35,57,34
169,115,Manchester City WFC,-0.024485342900000002,-0.002720593655555556,56,35,57,34
170,116,Arsenal WFC,0.058738107,0.0293690535,58,8,58,11
171,116,Manchester City WFC,-0.9215051,-0.9215051,58,8,58,11
172,117,Manchester City WFC,0.0058494351,0.0009749058499999999,59,0,59,10
173,118,Arsenal WFC,0.015043771300000001,0.0015043771300000002,59,10,59,23
174,119,Arsenal WFC,0.006673603999999999,0.0016684009999999997,59,23,60,15
175,119,Manchester City WFC,0.024352127,0.0008697188214285714,59,23,60,15
176,120,Arsenal WFC,0.021650023700000003,0.0011394749315789476,60,15,60,59
177,120,Manchester City WFC,0.0438133363,0.006259048042857143,60,15,60,59
178,121,Arsenal WFC,0.0021572872,0.0021572872,61,4,61,33
179,121,Manchester City WFC,0.00690144,0.000345072,61,4,61,33
180,122,Manchester City WFC,-0.006359854999999999,-0.0009085507142857142,61,47,61,56
181,123,Arsenal WFC,-0.0093144202,-0.0006653157285714285,62,9,62,52
182,123,Manchester City WFC,0.013248952400000001,0.0018927074857142858,62,9,62,52
183,124,Manchester City WFC,-0.0013939785,-0.0013939785,63,16,63,17
